Repository,Branch,Status,Detail
"AWS-BEDROCK-SAM","dev","skipped","branch not found"
"AWS-BEDROCK-SAM","devops-testing","skipped","branch not found"
"AWS-BEDROCK-SAM","main","updated",""
"Asish_Test_Repo","dev","skipped","branch not found"
"Asish_Test_Repo","devops-testing","skipped","branch not found"
"Asish_Test_Repo","main","updated",""
"EnableX-Sourcing-files","dev","skipped","branch not found"
"EnableX-Sourcing-files","devops-testing","skipped","branch not found"
"EnableX-Sourcing-files","main","updated",""
"KUBERNETES","dev","skipped","branch not found"
"KUBERNETES","devops-testing","skipped","branch not found"
"KUBERNETES","main","updated",""
"Kajal_Test_Repo","dev","skipped","branch not found"
"Kajal_Test_Repo","devops-testing","skipped","branch not found"
"Kajal_Test_Repo","main","updated",""
"MetR-Demo","dev","skipped","branch not found"
"MetR-Demo","devops-testing","skipped","branch not found"
"MetR-Demo","main","updated",""
"MetR-Master-AI-Agent","dev","skipped","branch not found"
"MetR-Master-AI-Agent","devops-testing","skipped","branch not found"
"MetR-Master-AI-Agent","main","skipped","branch not found"
"Nirmata-Sourcing-files","dev","skipped","branch not found"
"Nirmata-Sourcing-files","devops-testing","skipped","branch not found"
"Nirmata-Sourcing-files","main","updated",""
"RuleSet-Branches-Secure","dev","skipped","branch not found"
"RuleSet-Branches-Secure","devops-testing","skipped","branch not found"
"RuleSet-Branches-Secure","main","updated",""
"WORKDAY-SCHEDULER-SETUP","dev","skipped","branch not found"
"WORKDAY-SCHEDULER-SETUP","devops-testing","skipped","branch not found"
"WORKDAY-SCHEDULER-SETUP","main","updated",""
"admin-metapercept","dev","skipped","branch not found"
"admin-metapercept","devops-testing","skipped","branch not found"
"admin-metapercept","main","updated",""
"ai-devops-teammate","dev","skipped","branch not found"
"ai-devops-teammate","devops-testing","skipped","branch not found"
"ai-devops-teammate","main","updated",""
"api-metapercept","dev","skipped","branch not found"
"api-metapercept","devops-testing","skipped","branch not found"
"api-metapercept","main","updated",""
"blog-adminpanel-metapercept","dev","skipped","branch not found"
"blog-adminpanel-metapercept","devops-testing","skipped","branch not found"
"blog-adminpanel-metapercept","main","skipped","branch not found"
"blog-metapercept","dev","skipped","branch not found"
"blog-metapercept","devops-testing","skipped","branch not found"
"blog-metapercept","main","updated",""
"careers-adminpanel-metapercept","dev","skipped","branch not found"
"careers-adminpanel-metapercept","devops-testing","skipped","branch not found"
"careers-adminpanel-metapercept","main","skipped","branch not found"
"careers-metapercept","dev","skipped","branch not found"
"careers-metapercept","devops-testing","skipped","branch not found"
"careers-metapercept","main","updated",""
"demo-repository","dev","skipped","branch not found"
"demo-repository","devops-testing","skipped","branch not found"
"demo-repository","main","updated",""
"dita2-validation-transformation","dev","skipped","branch not found"
"dita2-validation-transformation","devops-testing","skipped","branch not found"
"dita2-validation-transformation","main","updated",""
"github-org-mcp-server","dev","skipped","branch not found"
"github-org-mcp-server","devops-testing","skipped","branch not found"
"github-org-mcp-server","main","updated",""
"metR-API-Gateway","dev","updated",""
"metR-API-Gateway","devops-testing","updated",""
"metR-API-Gateway","main","updated",""
"metR-Client-Admin","dev","skipped","branch not found"
"metR-Client-Admin","devops-testing","skipped","branch not found"
"metR-Client-Admin","main","skipped","branch not found"
"metR-Converter-DOCX","dev","updated",""
"metR-Converter-DOCX","devops-testing","updated",""
"metR-Converter-DOCX","main","updated",""
"metR-Converter-DocBook","dev","skipped","branch not found"
"metR-Converter-DocBook","devops-testing","skipped","branch not found"
"metR-Converter-DocBook","main","updated",""
"metR-Converter-FrameMaker","dev","updated",""
"metR-Converter-FrameMaker","devops-testing","updated",""
"metR-Converter-FrameMaker","main","updated",""
"metR-Converter-HTML","dev","updated",""
"metR-Converter-HTML","devops-testing","updated",""
"metR-Converter-HTML","main","updated",""
"metR-Converter-Markdown","dev","updated",""
"metR-Converter-Markdown","devops-testing","updated",""
"metR-Converter-Markdown","main","updated",""
"metR-Converter-PDF","dev","skipped","branch not found"
"metR-Converter-PDF","devops-testing","skipped","branch not found"
"metR-Converter-PDF","main","updated",""
"metR-Converter-PropDITA","dev","skipped","branch not found"
"metR-Converter-PropDITA","devops-testing","skipped","branch not found"
"metR-Converter-PropDITA","main","updated",""
"metR-Converter-SitecoreXML","dev","skipped","branch not found"
"metR-Converter-SitecoreXML","devops-testing","skipped","branch not found"
"metR-Converter-SitecoreXML","main","updated",""
"metR-Core-Infrastructure","dev","skipped","branch not found"
"metR-Core-Infrastructure","devops-testing","skipped","branch not found"
"metR-Core-Infrastructure","main","updated",""
"metR-DedUp","dev","skipped","branch not found"
"metR-DedUp","devops-testing","skipped","branch not found"
"metR-DedUp","main","updated",""
"metR-DocEditor","dev","skipped","branch not found"
"metR-DocEditor","devops-testing","skipped","branch not found"
"metR-DocEditor","main","updated",""
"metR-DocManager","dev","skipped","branch not found"
"metR-DocManager","devops-testing","skipped","branch not found"
"metR-DocManager","main","updated",""
"metR-DocMigrate","dev","skipped","branch not found"
"metR-DocMigrate","devops-testing","skipped","branch not found"
"metR-DocMigrate","main","updated",""
"metR-DocPublisher","dev","skipped","branch not found"
"metR-DocPublisher","devops-testing","skipped","branch not found"
"metR-DocPublisher","main","updated",""
"metR-Frontend","dev","updated",""
"metR-Frontend","devops-testing","updated",""
"metR-Frontend","main","updated",""
"metR-InfinityDocSite","dev","skipped","branch not found"
"metR-InfinityDocSite","devops-testing","skipped","branch not found"
"metR-InfinityDocSite","main","updated",""
"metR-Output-HTML5-CMS","dev","skipped","branch not found"
"metR-Output-HTML5-CMS","devops-testing","skipped","branch not found"
"metR-Output-HTML5-CMS","main","updated",""
"metR-Output-PDF","dev","skipped","branch not found"
"metR-Output-PDF","devops-testing","skipped","branch not found"
"metR-Output-PDF","main","updated",""
"metR-Output-XML-JSON-AI","dev","skipped","branch not found"
"metR-Output-XML-JSON-AI","devops-testing","skipped","branch not found"
"metR-Output-XML-JSON-AI","main","updated",""
"metR-Phase2","dev","skipped","branch not found"
"metR-Phase2","devops-testing","skipped","branch not found"
"metR-Phase2","main","updated",""
"metR-Phase2-shared-pipelines","dev","skipped","branch not found"
"metR-Phase2-shared-pipelines","devops-testing","skipped","branch not found"
"metR-Phase2-shared-pipelines","main","updated",""
"metR-Server-Admin","dev","updated",""
"metR-Server-Admin","devops-testing","updated",""
"metR-Server-Admin","main","skipped","branch not found"
"metR-XSLT-Library","dev","skipped","branch not found"
"metR-XSLT-Library","devops-testing","skipped","branch not found"
"metR-XSLT-Library","main","updated",""
"metR_Determinacy_Engine","dev","skipped","branch not found"
"metR_Determinacy_Engine","devops-testing","skipped","branch not found"
"metR_Determinacy_Engine","main","updated",""
"metapercept-main","dev","skipped","branch not found"
"metapercept-main","devops-testing","skipped","branch not found"
"metapercept-main","main","updated",""
"oxygen-web-author","dev","skipped","branch not found"
"oxygen-web-author","devops-testing","skipped","branch not found"
"oxygen-web-author","main","updated",""
"portfolio-adminpanel-metapercept","dev","skipped","branch not found"
"portfolio-adminpanel-metapercept","devops-testing","skipped","branch not found"
"portfolio-adminpanel-metapercept","main","skipped","branch not found"
"portfolio-metapercept","dev","skipped","branch not found"
"portfolio-metapercept","devops-testing","skipped","branch not found"
"portfolio-metapercept","main","updated",""
"training-appadmin-metapercept","dev","skipped","branch not found"
"training-appadmin-metapercept","devops-testing","skipped","branch not found"
"training-appadmin-metapercept","main","skipped","branch not found"
"training-metapercept","dev","skipped","branch not found"
"training-metapercept","devops-testing","skipped","branch not found"
"training-metapercept","main","skipped","branch not found"
